Geography,Population mid-2018 (millions),continent
Bahrain,1.5,ASIA
Cyprus,1.2,ASIA
Georgia,3.9,ASIA
Iraq,40.2,ASIA
Israel,8.5,ASIA
Jordan,10.2,ASIA
Kuwait,4.2,ASIA
Lebanon,6.1,ASIA
Oman,4.7,ASIA
Qatar,2.7,ASIA
Saudi Arabia,33.4,ASIA
Syria,18.3,ASIA
Turkey,81.3,ASIA
United Arab Emirates,9.5,ASIA
Yemen,28.9,ASIA
Kazakhstan,18.4,ASIA
Kyrgyzstan,6.1,ASIA
Tajikistan,9.1,ASIA
Turkmenistan,5.9,ASIA
Uzbekistan,32.9,ASIA
Afghanistan,36.5,ASIA
Bangladesh,166.4,ASIA
Bhutan,0.8,ASIA
India,"1,371.30",ASIA
Iran,81.6,ASIA
Maldives,0.4,ASIA
Nepal,29.7,ASIA
Pakistan,200.6,ASIA
Sri Lanka,21.7,ASIA
Brunei,0.4,ASIA
Cambodia,16,ASIA
Indonesia,265.2,ASIA
Laos,7,ASIA
Malaysia,32.5,ASIA
Myanmar,53.9,ASIA
Philippines,107,ASIA
Singapore,5.8,ASIA
Thailand,66.2,ASIA
Timor-Leste,1.2,ASIA
Vietnam,94.7,ASIA
China,"1,393.80",ASIA
Japan,126.5,ASIA
"Korea, North",25.6,ASIA
"Korea, South",51.8,ASIA
Mongolia,3.2,ASIA
Taiwan,23.6,ASIA
Denmark,5.8,EUROPE
Estonia,1.3,EUROPE
Finland,5.5,EUROPE
Iceland,0.4,EUROPE
Ireland,4.9,EUROPE
Latvia,1.9,EUROPE
Lithuania,2.8,EUROPE
Norway,5.3,EUROPE
Sweden,10.2,EUROPE
United Kingdom,66.4,EUROPE
Austria,8.8,EUROPE
Belgium,11.4,EUROPE
France,65.1,EUROPE
Germany,82.8,EUROPE
Liechtenstein,0.04,EUROPE
Luxembourg,0.6,EUROPE
Monaco,0.04,EUROPE
Netherlands,17.2,EUROPE
Switzerland,8.5,EUROPE
Belarus,9.5,EUROPE
Bulgaria,7,EUROPE
Czechia,10.6,EUROPE
Hungary,9.8,EUROPE
Moldova,3.5,EUROPE
Poland,38.4,EUROPE
Romania,19.5,EUROPE
Russia,147.3,EUROPE
Slovakia,5.4,EUROPE
Ukraine,42.3,EUROPE
Albania,2.9,EUROPE
Andorra,0.08,EUROPE
Bosnia-Herzegovina,3.5,EUROPE
Croatia,4.1,EUROPE
Greece,10.6,EUROPE
Italy,60.6,EUROPE
Kosovo,1.8,EUROPE
Macedonia,2.1,EUROPE
Malta,0.5,EUROPE
Montenegro,0.6,EUROPE
Portugal,10.3,EUROPE
San Marino,0.03,EUROPE
Serbia,7,EUROPE
Slovenia,2.1,EUROPE
Spain,46.7,EUROPE
Australia,24.1,OCEANIA
Federated States of Micronesia,0.1,OCEANIA
Fiji,0.9,OCEANIA
French Polynesia,0.3,OCEANIA
Guam,0.2,OCEANIA
Kiribati,0.1,OCEANIA
Marshall Islands,0.06,OCEANIA
Nauru,0.01,OCEANIA
New Caledonia,0.3,OCEANIA
New Zealand,4.9,OCEANIA
Palau,0.02,OCEANIA
Papua New Guinea,8.5,OCEANIA
Samoa,0.2,OCEANIA
Solomon Islands,0.7,OCEANIA
Tonga,0.1,OCEANIA
Tuvalu,0.01,OCEANIA
Vanuatu,0.3,OCEANIA
